Fiscal Year,Fund Code,Division Code,Department Code,Costing Center Acct. Reference,Division Name,Department Name,Costing Center Name,GL Account Number,GL Account Name, Adopted Budget 
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Family Support Center 2027 FS,41055,Federal Grants - Pass Thru, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,GED Youth FY26-FP,52755,Dues / Subscriptions," $ 3,151.00 "
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,LMB Administration 2027 FSA,52601,Travel / Training, $ -   
2026,22,30,30.245,999,Division of Family Services,Office For Children & Family,Integrated Systems of Care2024 FS,54401,Subgrants, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Judy Center 2027 FS,50301,Life Insurance, $ -   
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,ENOUGH 2025,53605,Office Supplies, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Judy Center 2025 FS,50260,Defined Benefit Plan, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Judy Center 2024 FS,52401,Telephone, $ -   
2026,10,30,30.245,999,Division of Family Services,Office For Children & Family,Children & Family FS,50250,Social Security / Medicare, $ -   
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,Healthy Families 2024 FSA,52701,Contracted Services, $ -   
2026,22,30,30.250,999,Division of Family Services,Child Advocacy Center,CAC Services 2026 FS,52755,Dues / Subscriptions," $ 5,228.00 "
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Family Support Center 2025 FS,52615,Mileage, $ -   
2026,10,30,30.250,999,Division of Family Services,Child Advocacy Center,Child Advocacy Center FS,52755,Dues / Subscriptions, $ 200.00 
2026,22,30,30.250,999,Division of Family Services,Child Advocacy Center,CAC Services 2027 FS,41300,State Grants - Operating, $ -   
2026,10,30,30.250,999,Division of Family Services,Child Advocacy Center,Child Advocacy Center FS,50101,Salary & Wages," $ 570,786.00 "
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Family Support Center 2025 FS,50290,Worker's Compensation, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Safe and Stable Families 2026 FS,52401,Telephone," $ 1,454.00 "
